#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:16:188:2:101,101,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,San Jose,CR101,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:2:102,102,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:102,Escazu,CR102,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:2:103,103,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:103,Desamparados,CR103,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:2:104,104,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:104,Puriscal,CR104,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:2:105,105,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:105,Tarrazu,CR105,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:2:106,106,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:106,Aserri,CR106,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:2:107,107,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:107,Mora,CR107,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:2:108,108,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:108,Goicoechea,CR108,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:2:109,109,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:109,Santa Ana,CR109,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:2:110,110,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:110,Alajuelita,CR110,,,,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
