#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:16:188:3:10101,10101,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,1603:16:188:3:10101,Carmen,CR10101,,,,San Jose,CR101,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:3:10102,10102,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,1603:16:188:3:10102,Merced,CR10102,,,,San Jose,CR101,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:3:10103,10103,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,1603:16:188:3:10103,Hospital,CR10103,,,,San Jose,CR101,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:3:10104,10104,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,1603:16:188:3:10104,Catedral,CR10104,,,,San Jose,CR101,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:3:10105,10105,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,1603:16:188:3:10105,Zapote,CR10105,,,,San Jose,CR101,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:3:10106,10106,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,1603:16:188:3:10106,San Francisco De Dos Rios,CR10106,,,,San Jose,CR101,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:3:10107,10107,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,1603:16:188:3:10107,Uruca,CR10107,,,,San Jose,CR101,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:3:10108,10108,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,1603:16:188:3:10108,Mata Redonda,CR10108,,,,San Jose,CR101,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:3:10109,10109,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,1603:16:188:3:10109,Pavas,CR10109,,,,San Jose,CR101,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
1603:16:188:3:10110,10110,1603:16:188:0,1603:16:188:1:1,1603:16:188:2:101,1603:16:188:3:10110,Hatillo,CR10110,,,,San Jose,CR101,San Jose,CR1,Costa Rica,CR,2022-01-13,2022-02-09,
